name,BCELoss,IsotonicBCE
AF-Q9NVU0-F1-model_v4_0,0.8941233,0.88372093
AF-P09919-F1-model_v4_0,0.9006953,0.9611651
AF-O00139-F1-model_v4_0,0.0005847418,0.0
AF-Q9H0M0-F1-model_v4_0,0.51507807,0.075630255
AF-P06733-F1-model_v4_0,0.001137631,0.027272727
AF-Q9NPC6-F1-model_v4_0,0.9041612,0.9611651
AF-Q8IV38-F1-model_v4_0,0.90060675,0.9611651
AF-Q6WRX3-F1-model_v4_0,0.8906279,0.77319586
AF-O75145-F1-model_v4_0,0.89876336,0.9611651
AF-O14827-F1-model_v4_0,0.8823105,0.40298507
AF-Q6NT89-F1-model_v4_0,0.045778085,0.05882353
AF-Q8IYJ3-F1-model_v4_0,0.07513686,0.075630255
AF-Q3ZCW2-F1-model_v4_0,0.88425153,0.5
AF-B2RUZ4-F1-model_v4_0,0.8924951,0.86538464
AF-Q8WZ42-F117-model_v4_0,0.8943533,0.88372093
AF-Q12830-F3-model_v4_0,0.89975715,0.9611651
AF-Q6P474-F1-model_v4_0,0.89079636,0.77319586
AF-Q5TGY3-F1-model_v4_0,0.80648637,0.31578952
AF-Q9P2R6-F1-model_v4_0,0.8971926,0.9611651
AF-A6NJV1-F1-model_v4_0,0.8999034,0.9611651
AF-Q66PJ3-F1-model_v4_0,0.89505,0.88372093
AF-Q14D33-F1-model_v4_0,0.0014378696,0.027272727
AF-Q9UK96-F1-model_v4_0,0.8888951,0.62068963
AF-Q9BV79-F1-model_v4_0,0.8965052,0.91818184
AF-P26012-F1-model_v4_0,0.8942381,0.88372093
AF-Q99542-F1-model_v4_0,0.8974431,0.9611651
AF-Q7Z6I8-F1-model_v4_0,0.56669945,0.075630255
AF-Q9Y375-F1-model_v4_0,0.89733416,0.9611651
AF-Q9BQL6-F1-model_v4_0,0.0047122505,0.031811394
AF-Q63HM1-F1-model_v4_0,0.8689339,0.40298507
AF-Q96KW9-F1-model_v4_0,0.8993817,0.9611651
AF-Q9Y305-F1-model_v4_0,0.013068417,0.035714287
AF-Q16629-F1-model_v4_0,0.78953815,0.31578952
AF-A0A075B7E8-F1-model_v4_0,0.003089463,0.027272727
AF-Q9UEU5-F1-model_v4_0,0.89460564,0.88372093
AF-Q09161-F1-model_v4_0,0.8745617,0.40298507
AF-Q6NVV1-F1-model_v4_0,0.9028956,0.9611651
AF-O00755-F1-model_v4_0,0.8976222,0.9611651
AF-O00175-F1-model_v4_0,0.8915393,0.77319586
AF-Q12894-F1-model_v4_0,0.0007728232,0.027272727
AF-P21359-F8-model_v4_0,0.8923825,0.86538464
AF-Q4V9L6-F1-model_v4_0,0.88843936,0.62068963
AF-A0A599-F1-model_v4_0,0.8995603,0.9611651
AF-Q8NGS0-F1-model_v4_0,0.7432463,0.075630255
AF-Q99259-F1-model_v4_0,0.02232517,0.05882353
AF-Q5T1H1-F8-model_v4_0,0.8989228,0.9611651
AF-P08217-F1-model_v4_0,0.02934868,0.05882353
AF-P78364-F1-model_v4_0,0.8922327,0.77319586
AF-Q9H765-F1-model_v4_0,0.10336322,0.075630255
AF-Q9H293-F1-model_v4_0,0.89082164,0.77319586
AF-P0C617-F1-model_v4_0,0.88647383,0.5
AF-Q8N5S3-F1-model_v4_0,0.88471645,0.5
AF-Q96MF4-F1-model_v4_0,0.7829909,0.31578952
AF-Q7Z398-F1-model_v4_0,0.8935209,0.86538464
AF-P00748-F1-model_v4_0,0.89755726,0.9611651
AF-Q9Y520-F7-model_v4_0,0.88674915,0.62068963
AF-A0A0G2JMH6-F1-model_v4_0,0.9004917,0.9611651
AF-P23921-F1-model_v4_0,0.7911474,0.31578952
AF-Q96LI6-F1-model_v4_0,0.17476627,0.075630255
AF-Q9Y333-F1-model_v4_0,0.8439808,0.31578952
AF-Q8NGU9-F1-model_v4_0,0.0016578868,0.027272727
AF-Q9UQ35-F7-model_v4_0,0.0005907577,0.0
AF-Q00597-F1-model_v4_0,0.8965257,0.91818184
AF-P39900-F1-model_v4_0,0.8969546,0.9611651
AF-Q7Z3V5-F1-model_v4_0,0.89677227,0.91818184
AF-Q1HG44-F1-model_v4_0,0.8959756,0.91818184
