name,BCELoss,IsotonicBCE,Focal Loss,IsotonicFocal,Dice++Loss
3ol,0.89591956,0.91818184,0.98067194,1.0,0.8975172
1xd,0.89579636,0.88372093,0.9807162,1.0,0.894859
1u3,0.8956006,0.88372093,0.98067975,1.0,0.8948028
5ke,0.89572215,0.88372093,0.9806923,1.0,0.8948338
3ol,0.8958814,0.91818184,0.9806675,1.0,0.8975148
5va,0.8956565,0.88372093,0.9806683,1.0,0.8948024
1pi,0.89581674,0.88372093,0.9801993,1.0,0.8940757
3ol,0.89590305,0.91818184,0.9806723,1.0,0.8975323
3ol,0.89592534,0.91818184,0.9806685,1.0,0.8975322
1jf,0.8963098,0.91818184,0.98028886,1.0,0.894574
1UA,0.8949539,0.88372093,0.9646355,0.9,0.8984542
3CP,0.8956532,0.88372093,0.98076135,1.0,0.8952074
1XH,0.8957655,0.88372093,0.9807544,1.0,0.8955888
1XD,0.89579636,0.88372093,0.9807162,1.0,0.894859
3BA,0.89580506,0.88372093,0.9807669,1.0,0.89560556
1XH,0.8958893,0.91818184,0.9807631,1.0,0.89562124
1XD,0.89577246,0.88372093,0.98071116,1.0,0.89484566
1BA,0.8930318,0.86538464,0.9619626,0.9,0.8998426
1WO,0.89609843,0.91818184,0.9803303,1.0,0.8943712
1JF,0.8963098,0.91818184,0.98028886,1.0,0.89457387
1U3,0.8958612,0.91818184,0.9807169,1.0,0.89486945
1U3,0.8956006,0.88372093,0.98067975,1.0,0.8948028
3L2,0.89607453,0.91818184,0.98027956,1.0,0.8943346
2QV,0.8956344,0.88372093,0.98068285,1.0,0.8947939
6Z8,0.8958091,0.88372093,0.98068,1.0,0.8950242
1XC,0.89583695,0.91818184,0.9807084,1.0,0.89486253
3BA,0.8958351,0.91818184,0.98070884,1.0,0.89484763
5TD,0.8956223,0.88372093,0.98074853,1.0,0.8951594
1XC,0.8958505,0.91818184,0.98070866,1.0,0.8948569
6M4,0.8970565,0.9611651,0.9811117,1.0,0.8963184
1G9,0.8951219,0.88372093,0.98006517,1.0,0.8968322
1e5,0.89476967,0.88372093,0.97304404,0.9535865,0.896341
1h5,0.89558816,0.88372093,0.9720643,0.9535865,0.89553154
1oc,0.8953917,0.88372093,0.96461505,0.9,0.9003101
8a3,0.8878354,0.62068963,0.97804856,1.0,0.89593613
1w3,0.8953986,0.88372093,0.9643671,0.9,0.9002936
1w3,0.8953827,0.88372093,0.96441656,0.9,0.9003109
1qi,0.89481586,0.88372093,0.97312963,0.9535865,0.8963935
5a3,0.8954588,0.88372093,0.9647016,0.9,0.9003392
4A3,0.89538676,0.88372093,0.964706,0.9,0.9003399
1G0,0.89410496,0.88372093,0.9711987,0.9535865,0.8931409
8A3,0.8954736,0.88372093,0.96487236,0.9,0.9003388
5A8,0.8971892,0.9611651,0.94907844,0.8333333,0.888182
5A9,0.8966753,0.91818184,0.94539076,0.8115942,0.8891053
5A8,0.8972232,0.9611651,0.9491709,0.8333333,0.8881818
4HU,0.8959674,0.91818184,0.9428914,0.8115942,0.8949215
3A3,0.895395,0.88372093,0.9645466,0.9,0.90035367
5A8,0.89721704,0.9611651,0.94944555,0.8333333,0.8881737
1QI,0.89481586,0.88372093,0.97312963,0.9535865,0.8963935
1HF,0.8954031,0.88372093,0.964447,0.9,0.9003157
1W3,0.8953986,0.88372093,0.9643672,0.9,0.9002936
2CK,0.89306813,0.86538464,0.96915954,0.9535865,0.89523154
2A3,0.8954308,0.88372093,0.96468705,0.9,0.9003504
1TV,0.8976294,0.9611651,0.97826433,1.0,0.8985262
2V3,0.8957431,0.88372093,0.97175646,0.9535865,0.8953991
b14,0.8966058,0.91818184,0.9487533,0.8309913,0.88861656
b15,0.89713347,0.9611651,0.95020354,0.8333333,0.8882718
b1d,0.89714664,0.9611651,0.95035696,0.8333333,0.8882575
b20,0.89539343,0.88372093,0.9646226,0.9,0.9003745
b22,0.89676493,0.91818184,0.9496307,0.8333333,0.88803905
b26,0.89396566,0.88372093,0.97139347,0.9535865,0.8932054
5xg,0.89623356,0.91818184,0.977777,0.983871,0.9054238
5f8,0.8963,0.91818184,0.9785865,1.0,0.8997022
5f9,0.896241,0.91818184,0.96565807,0.9535865,0.8972021
5F8,0.8973188,0.9611651,0.97620404,0.9535865,0.8974559
5DU,0.89736736,0.9611651,0.97946805,1.0,0.90249956
5F8,0.8973266,0.9611651,0.9762838,0.96538043,0.8974791
5VB,0.8982704,0.9611651,0.9709466,0.9535865,0.89721215
3WM,0.8966335,0.91818184,0.9641666,0.9,0.8951578
3WM,0.8980519,0.9611651,0.97584367,0.9535865,0.8974233
5F8,0.8974048,0.9611651,0.9762477,0.95474654,0.89747125
5XG,0.89623356,0.91818184,0.977777,0.983871,0.9054238
6BF,0.89763594,0.9611651,0.976851,0.983871,0.89649206
b2c,0.89737195,0.9611651,0.9742941,0.9535865,0.8979359
1gw,0.89513725,0.88372093,0.79225326,0.52272725,0.81075877
1OH,0.8957936,0.88372093,0.8866144,0.68421054,0.8567431
1W8,0.89645755,0.91818184,0.90890825,0.7586207,0.8070287
1W8,0.89504623,0.88372093,0.8694069,0.52272725,0.83124936
1GW,0.8942469,0.88372093,0.90448916,0.7586207,0.8375012
1GW,0.89513725,0.88372093,0.7922532,0.52272725,0.8107587
n01,0.0015416119,0.027272727,0.21156757,0.2682927,0.013220681
n08,0.0011039423,0.027272727,0.1902293,0.2682927,0.0049711717
n45,0.0046557332,0.031021405,0.75123864,0.52272725,0.7883727
n46,0.012952012,0.035714287,0.8505382,0.52272725,0.7675864
n48,0.0028478303,0.027272727,0.71236634,0.52272725,0.5937821
b19,0.8959622,0.91818184,0.8805044,0.68421054,0.8570767
n57,0.0005172187,0.0,0.026241949,0.0,0.00244738
n71,0.00057479163,0.0,0.055191983,0.036144577,0.002965058
n78,0.00055392314,0.0,0.09873303,0.0625,0.0026077107
n7f,0.0019847022,0.027272727,0.23895805,0.3432836,0.013126267
n80,0.59407306,0.075630255,0.13673669,0.13513513,0.012489329
n8f,0.0014301798,0.027272727,0.03664035,0.036144577,0.0038713801
n96,0.00092833844,0.027272727,0.06730341,0.036144577,0.0029545943
na1,0.00055038865,0.0,0.037323717,0.036144577,0.0025628337
1of,0.89724,0.9611651,0.97662306,0.983871,0.89597124
4cs,0.89780676,0.9611651,0.9788346,1.0,0.90077806
4c1,0.89658386,0.91818184,0.98060524,1.0,0.89701587
4d5,0.8964319,0.91818184,0.9805911,1.0,0.89740884
1IU,0.8973595,0.9611651,0.9772224,0.983871,0.8962604
7C3,0.89838123,0.9611651,0.9790178,1.0,0.8940129
7C3,0.89755106,0.9611651,0.9792346,1.0,0.894279
7C3,0.89688736,0.9611651,0.9800275,1.0,0.89552504
4CS,0.89675343,0.91818184,0.9768386,0.983871,0.89852464
5EO,0.8977889,0.9611651,0.9803444,1.0,0.89799714
4UO,0.89825416,0.9611651,0.9806816,1.0,0.89546835
5EO,0.8979337,0.9611651,0.97929424,1.0,0.89190614
4C1,0.8983196,0.9611651,0.98062414,1.0,0.8954775
4AH,0.8982604,0.9611651,0.9797673,1.0,0.8966239
4D5,0.89850336,0.9611651,0.98068213,1.0,0.8951624
4AH,0.8982761,0.9611651,0.979776,1.0,0.89654785
1IU,0.8973829,0.9611651,0.9772663,0.983871,0.8962996
b0d,0.8972524,0.9611651,0.9789612,1.0,0.89488
b0d,0.89642644,0.91818184,0.98012596,1.0,0.89593786
b43,0.897991,0.9611651,0.9787723,1.0,0.8941026
b58,0.89643574,0.91818184,0.98015195,1.0,0.8959284
b76,0.8964182,0.91818184,0.98013055,1.0,0.8959257
1wd,0.8974482,0.9611651,0.968456,0.9535865,0.897256
2xg,0.8963273,0.91818184,0.96235204,0.9,0.89478135
1IT,0.8936858,0.86538464,0.9584501,0.9,0.88885725
1B1,0.8940293,0.88372093,0.93074465,0.8115942,0.8934968
1Q6,0.8970554,0.9611651,0.9631239,0.9,0.8981858
1VE,0.8938378,0.88372093,0.96234286,0.9,0.88882166
1VE,0.89404756,0.88372093,0.9629259,0.9,0.8892023
1VE,0.8944243,0.88372093,0.9604182,0.9,0.88719755
1FA,0.89576536,0.88372093,0.95724314,0.9,0.89663017
1B9,0.89424986,0.88372093,0.9648406,0.9,0.88939714
