name,BNN
3ol,0.8944999
1xd,0.89730483
1u3,0.8912589
5ke,0.88882387
3ol,0.89609927
5va,0.89234096
1pi,0.895923
3ol,0.90380716
3ol,0.8920042
1jf,0.89746696
1UA,0.8889365
3CP,0.889987
1XH,0.89923
1XD,0.8904191
3BA,0.89271486
1XH,0.89241827
1XD,0.8923122
1BA,0.8896924
1WO,0.8881642
1JF,0.89129096
1U3,0.88466865
1U3,0.8877341
3L2,0.88932407
2QV,0.8951104
6Z8,0.89251995
1XC,0.8851061
3BA,0.89072263
5TD,0.8847685
1XC,0.8935323
6M4,0.90086234
1G9,0.9026305
1e5,0.88037014
1h5,0.887832
1oc,0.8783143
8a3,0.89253235
1w3,0.89132327
1w3,0.8906623
1qi,0.89029485
5a3,0.8891881
4A3,0.88404655
1G0,0.8869354
8A3,0.88158387
5A8,0.88953066
5A9,0.8809506
5A8,0.8926225
4HU,0.8969429
3A3,0.89474523
5A8,0.8904579
1QI,0.8982177
1HF,0.88106984
1W3,0.89446354
2CK,0.8864275
2A3,0.8883295
1TV,0.8894426
2V3,0.8906089
b14,0.88579607
b15,0.8899309
b1d,0.89597
b20,0.88160324
b22,0.8915356
b26,0.8977413
5xg,0.889703
5f8,0.8903345
5f9,0.8781826
5F8,0.89958227
5DU,0.8953064
5F8,0.8928754
5VB,0.8872749
3WM,0.8968975
3WM,0.8245462
5F8,0.8969103
5XG,0.87243396
6BF,0.89743966
b2c,0.8892013
1gw,0.8906906
1OH,0.88530934
1W8,0.8747058
1W8,0.8709167
1GW,0.85473526
1GW,0.8397002
n01,0.6297084
n08,0.34631258
n45,0.87790585
n46,0.8896764
n48,0.86746025
b19,0.88855517
n57,0.0015991225
n71,0.19614449
n78,0.29057947
n7f,0.4443442
n80,0.5619284
n8f,0.0010277744
n96,0.67480487
na1,0.5868323
1of,0.8940617
4cs,0.8939555
4c1,0.89243823
4d5,0.8922148
1IU,0.8868448
7C3,0.8852693
7C3,0.8852221
7C3,0.88654995
4CS,0.88115036
5EO,0.88757384
4UO,0.8928343
5EO,0.8928936
4C1,0.8880507
4AH,0.88645285
4D5,0.89428675
4AH,0.8874918
1IU,0.89833057
b0d,0.89411354
b0d,0.8843523
b43,0.88962805
b58,0.8947357
b76,0.8990108
1wd,0.8816975
2xg,0.888725
1IT,0.8898508
1B1,0.8894569
1Q6,0.8853695
1VE,0.87625515
1VE,0.88754016
1VE,0.88670665
1FA,0.8928116
1B9,0.88655996
1J1,0.8820422
1Q6,0.89055395
1V3,0.8866147
1VE,0.87869436
1V3,0.89129436
5WQ,0.8870457
2XF,0.8834034
1J1,0.8797389
1Q6,0.8847803
b19,0.8905042
b1a,0.88608867
b3b,0.87938434
b97,0.8887211
ba8,0.87726796
bad,0.88152045
bae,0.8888709
3th,0.89700615
1TY,0.88937443
1TY,0.89194393
1TY,0.88959134
1TS,0.89701444
1QA,0.9080617
1QA,0.89261836
1QA,0.89448375
1TY,0.890786
1CL,0.8966049
b3d,0.8900873
2ZQ,0.8794429
2ZQ,0.8957697
2DR,0.8911238
2DR,0.8903071
b2f,0.89548767
1G8,0.8929416
1ax,0.8974783
3n3,0.8920959
5t5,0.8891703
5kx,0.89655334
5t5,0.89720917
1ax,0.8966915
1ri,0.88128215
4xt,0.8913151
4xt,0.896286
1gz,0.8876972
1ax,0.89791334
1ax,0.89365435
3zy,0.8879094
1gz,0.89492685
2AR,0.8835657
1HK,0.890411
6VC,0.89617765
1G7,0.90339404
1N3,0.9042476
1GZ,0.88859
2LT,0.8878158
1LG,0.8882669
2PH,0.89482576
1S1,0.8979479
2DV,0.88802016
3N3,0.89531344
2TE,0.8939716
4XX,0.89255935
2LA,0.8984917
1G9,0.90028036
